Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Briann January,PHO,G,32,852,8.8,0.52,0.451,0.236,0.8,2.8,20.3,1.6,0.3,21.2,14.2,0.3,0.3,0.5,0.025
Leilani Mitchell,PHO,G,32,971,17.6,0.603,0.566,0.27,2,5.7,24.4,1.6,0.8,14.6,19.5,2.8,0.6,3.5,0.142
Chiney Ogwumike,LAS,F,32,697,18.4,0.541,0.016,0.269,13.3,15,6.2,2.4,2.8,12.9,20.8,1.6,1.4,3,0.171
Nneka Ogwumike,LAS,F,32,892,25.7,0.575,0.167,0.229,9.3,18,12.4,3.4,1.4,11.5,25.2,3.1,2.4,5.5,0.248
Sydney Wiese,LAS,G,32,659,8.5,0.521,0.65,0.063,0.9,3.6,12.9,1.2,1,17.9,12.1,0.3,0.5,0.8,0.048
Elizabeth Williams,ATL,C-F,32,909,16.7,0.521,0,0.477,11.4,12.1,7.8,1.4,4.7,12.9,15.9,1.6,1,2.7,0.117
Kennedy Burke,IND,G,31,423,11.9,0.495,0.342,0.376,5.1,6.1,8.5,2.2,1.9,13.3,16.8,0.3,0.2,0.6,0.053
Maite Cazorla,ATL,G,31,477,6.4,0.444,0.591,0.258,0.4,2.3,17.8,1.9,0.2,21.9,12.3,-0.4,0.2,-0.2,-0.014
Alysha Clark,SEA,F,31,881,16.3,0.602,0.447,0.093,4.9,10.1,15.8,2,1.7,16.3,15.3,2,1.1,3.1,0.141
Elena Delle Donne,WAS,G-F,31,901,31.8,0.633,0.283,0.274,6.6,17.2,13.2,1.1,3.6,5.9,25.7,6.2,1.5,7.7,0.343
Brittney Griner,PHO,C,31,1018,26.4,0.601,0.006,0.261,6,12.6,17.9,1.1,4.8,12.5,28.4,3.6,1.5,5,0.198
Marie Gulich,ATL,C,31,349,8.8,0.433,0.231,0.204,10.5,12.9,10.3,0.7,5.5,21.4,19,-0.5,0.4,-0.1,-0.015
Isabelle Harrison,DAL,F,31,794,15.6,0.495,0.025,0.278,10.2,13.5,10.4,2.4,2.8,15.1,18.5,0.8,0.8,1.6,0.081
