Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Tan White,CON,G,30,659,16.9,0.53,0.526,0.202,3.4,7.1,18.4,2.8,1.1,12.1,20.6,1.4,1,2.4,0.144,2009
Cheryl Ford,DET,F,29,755,12.5,0.459,0.013,0.441,11.4,17.1,5.8,1.9,1.5,15.3,18.8,0.2,1.3,1.5,0.08,2009
Megan Frazee,SAS,F,29,326,16,0.506,0.294,0.31,10.4,16,9,1.3,1.2,12.8,23.5,0.5,0.3,0.8,0.097,2009
Lindsay Wisdom-Hylton,LAS,F,29,197,13.5,0.497,0.016,0.311,8.9,12.5,7.2,0.8,3.5,17.8,19.2,0.1,0.3,0.4,0.075,2009
Kristin Haynie,TOT,G,29,317,12.1,0.468,0.318,0.239,3.1,7.7,15.5,4.5,0.3,20.5,17.1,0,0.5,0.5,0.064,2009
Kara Braxton,DET,C-F,28,504,22.2,0.552,0,0.308,15.8,19.9,16.5,2,3.1,18.3,24.6,1.2,1,2.2,0.175,2009
Marissa Coleman,WAS,G-F,28,525,10.8,0.478,0.503,0.283,4.9,8.6,7.3,1.9,1.4,16,17.5,0.2,0.7,0.9,0.071,2009
Marie Ferdinand-Harris,LAS,G,28,339,15,0.499,0.163,0.274,6.3,7.3,13.3,2.4,0.5,12.7,23,0.6,0.5,1.1,0.125,2009
Tasha Humphrey,TOT,C,28,407,11.5,0.473,0.428,0.187,3.7,10.8,5,1.6,1.8,10,21.6,0.2,0.3,0.5,0.047,2009
Rebekkah Brunson,SAC,F,27,665,22.3,0.549,0.004,0.416,12.6,17.9,2.7,3.1,2,13,23,2,1.1,3,0.183,2009
Anete Jekabsone-Zogota,CON,G,27,644,11.5,0.518,0.423,0.12,2,6.9,16.9,0.7,0,16.3,20.3,0.4,0.5,0.9,0.053,2009
K.B. Sharp,CHI,G,27,325,7.6,0.535,0.298,0.333,1.1,3.8,12.6,1.3,0.5,26,12.5,0,-0.1,-0.1,-0.007,2009
Katie Smith,DET,G,27,894,14,0.575,0.449,0.207,1.8,4.2,15.2,1.2,0.2,16.2,19,2.1,0.5,2.6,0.114,2009
Tammy Sutton-Brown,IND,C,27,680,16,0.534,0,0.5,7.5,14.1,6.7,1.2,5,16.4,19.8,0.9,1.5,2.4,0.138,2009
Kristi Toliver,CHI,G,27,386,18.8,0.606,0.566,0.145,1.9,5.8,26.7,1.4,0.6,20.6,25.4,1,0,1,0.1,2009
Brooke Wyckoff,CHI,F,27,531,7.5,0.535,0.689,0.108,4,8.4,11.4,1,3.1,27.2,9.2,0.2,0.1,0.3,0.022,2009
Jessica Davenport,IND,C,26,181,14.2,0.564,0,0.364,9.6,13.4,6.9,2,6.6,24.8,21.1,0,0.4,0.5,0.1,2009
Sandrine Gruda,CON,F-C,26,810,14.9,0.485,0,0.266,8.7,11.6,8.5,1.5,4,15.9,23.5,-0.1,1.2,1.1,0.055,2009
Lauren Jackson,SEA,F-C,26,843,26.1,0.586,0.314,0.394,7.5,13.9,5.8,2.5,4.8,9.2,26.2,3.9,2,5.9,0.279,2009
Chen Nan,CHI,C,26,320,8.7,0.492,0,0.084,8.9,10.5,3.5,1.3,2.3,22.7,18.3,-0.3,0.1,-0.3,-0.033,2009
Ashley Robinson,SEA,C,26,167,-1.6,0.224,0.04,0.16,4,9.3,1.9,0.7,7,27.2,10.4,-0.6,0.3,-0.3,-0.078,2009
Vanessa Hayden,LAS,C,25,269,11.8,0.443,0,0.263,12.6,15,4,0.8,7,15.2,20.9,-0.1,0.5,0.5,0.067,2009
Chamique Holdsclaw,ATL,F,25,708,14.9,0.483,0.094,0.292,4.6,8.8,13.2,2.3,0.7,17.1,25.4,0.3,1,1.2,0.07,2009
Kara Lawson,SAC,G,25,604,13.6,0.513,0.55,0.165,2.3,5.5,18.5,1.4,0.1,14,18.2,1.2,0.1,1.3,0.087,2009
Candace Parker,LAS,F,25,815,20.9,0.537,0.089,0.296,9.2,18,14.5,1,5.6,15.3,19.9,1.9,1.9,3.8,0.186,2009
Sylvia Fowles,CHI,C,24,692,17.1,0.626,0,0.576,9.3,16.6,5.2,1.6,4.1,26.1,19.3,0.7,0.8,1.5,0.085,2009
Ivory Latta,ATL,G,24,350,13.5,0.561,0.455,0.418,1,2.6,14.8,1.8,0.2,16.6,18.5,0.8,0.2,1,0.119,2009
Bernice Mosby,WAS,F,24,169,6.7,0.433,0.021,0.298,10.4,13.1,3.1,2.4,0.5,23.1,17.7,-0.2,0.3,0,0.007,2009
Shay Murphy,IND,G,24,186,19.5,0.498,0.36,0.292,14.4,13.7,11.7,1.7,0.9,8.2,26.5,0.6,0.3,0.9,0.191,2009
Tamika Whitmore,CON,F,24,376,6.6,0.371,0.181,0.26,6,7.8,11.2,1.2,0.6,12.4,19.1,-0.5,0.3,-0.2,-0.022,2009
Amber Holt,CON,F,23,380,14.6,0.468,0.407,0.431,3.7,11.1,19.7,1.2,0.4,8.7,18.8,0.7,0.5,1.2,0.13,2009
Asjha Jones,CON,F,23,727,18.7,0.513,0.047,0.236,6.3,10.6,16.3,1.4,1.4,11.6,25.9,1.3,0.9,2.2,0.124,2009
Lisa Leslie,LAS,C,23,638,23,0.557,0.022,0.324,11,14.2,16.1,1.3,4.4,15.7,26.5,1.8,1.2,3,0.19,2009
Chelsea Newton,SAC,G,23,336,9.9,0.436,0.171,0.257,3.7,5.6,18.9,2.8,0.8,17,12.3,0.2,0.2,0.4,0.049,2009
Nicole Ohlde,PHO,F-C,21,311,11.1,0.597,0,0.648,7.3,10.6,2.8,0.8,4.5,24.1,16.2,0.3,0.1,0.4,0.051,2009
Brooke Smith,PHO,F-C,21,144,5.5,0.567,0,0.533,9.2,13.6,2.7,0.7,1.5,27.4,7.4,0.1,0,0.2,0.048,2009
Christina Wirth,IND,F,21,121,7.4,0.374,0.483,0.034,2.9,7.5,18.6,1.3,0.7,9.2,12.1,0,0.2,0.2,0.063,2009
